IP;BAN_DATE;UNBAN_DATE;REASON
2.247.240.49;1474821363;1474907768;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
2.248.172.45;1474798202;1475403002;"Брутфорс атака на сайт olgakizlova.kiev.ua/Brute force attack on site olgakizlova.kiev.ua"
2.249.76.237;1472311803;1474903804;"Брутфорс атака на сайт tranceisstar.com/Brute force attack on site tranceisstar.com"
5.1.50.242;1474455603;1475060403;"Брутфорс атака на сайт domstroi.org/Brute force attack on site domstroi.org"
5.2.137.67;1472846403;1475438407;"Паразитный трафик на сайт kripeg.com.ua / Parasite traffic on site kripeg.com.ua"
5.2.211.94;1474259462;1474864262;"Брутфорс атака на сайт bessarabov.in.ua/Brute force attack on site bessarabov.in.ua"
5.3.159.124;1474371324;1474976126;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
5.8.10.5;1473522541;1476114542;"Брутфорс атака на сайт pidgorodne.info/Brute force attack on site pidgorodne.info"
5.8.37.203;1472565122;1475157122;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.212;1473974222;1476566223;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.218;1472451962;1475043963;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.222;1473379565;1475971565;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.224;1473173582;1475765582;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.225;1474757163;1474843564;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.232;1472481482;1475073482;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.235;1473204422;1475796422;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.241;1473031382;1475623382;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.244;1472702042;1475294043;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.245;1474752602;1474839003;"Брутфорс атака на сайт studio-one-touch.ru/Brute force attack on site studio-one-touch.ru"
5.8.37.246;1472887082;1475479082;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.8.37.249;1473045841;1475637842;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.9.48.221;1474765381;1475370181;"Брутфорс атака на сайт aromacup.com.ua/Brute force attack on site aromacup.com.ua"
5.9.70.16;1474752182;1475356982;"Брутфорс атака на сайт shinseikan.com.ua/Brute force attack on site shinseikan.com.ua"
5.12.153.109;1474583282;1475188084;"Брутфорс атака на сайт data-hub.com.ua/Brute force attack on site data-hub.com.ua"
5.13.85.157;1472257563;1474849563;"Брутфорс атака на сайт yoga-24.at/Brute force attack on site yoga-24.at"
5.13.247.90;1474741081;1474827482;"Паразитный трафик на сайт ynik.info / Parasite traffic on site ynik.info"
5.18.77.54;1474741081;1474827482;"Паразитный трафик на сайт ynik.info / Parasite traffic on site ynik.info"
5.18.200.210;1474386782;1474991583;"Паразитный трафик на сайт tut-cikavo.com / Parasite traffic on site tut-cikavo.com"
5.18.202.157;1474741501;1474827901;"Брутфорс атака на сайт florence.kiev.ua/Brute force attack on site florence.kiev.ua"
5.18.226.245;1474752062;1474838463;"Брутфорс атака на сайт optimum-trade.com/Brute force attack on site optimum-trade.com"
5.20.135.15;1474807504;1474893909;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
5.29.152.218;1472616422;1475208423;"Брутфорс атака на сайт salon-dival.com.ua/Brute force attack on site salon-dival.com.ua"
5.29.239.62;1474810022;1475414828;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
5.32.18.122;1474791781;1474878185;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
5.34.242.187;1474769341;1474855744;"Брутфорс атака на сайт first-lastivka.if.ua/Brute force attack on site first-lastivka.if.ua"
5.36.122.125;1474814761;1474901163;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
5.36.206.91;1474797242;1474883646;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
5.39.17.245;1473853382;1476445385;"Паразитный трафик на сайт karat.ck.ua / Parasite traffic on site karat.ck.ua"
5.39.67.191;1474287122;1476879123;"Паразитный трафик на сайт priboyprimorsk.com / Parasite traffic on site priboyprimorsk.com"
5.39.76.138;1473229502;1475821505;"Паразитный трафик на сайт xn--2-ctbffp1c.xn--80adi0aoagldk8i.pp.ua / Parasite traffic on site xn--2-ctbffp1c.xn--80adi0aoagldk8i.pp.ua"
5.40.129.168;1473305822;1475897823;"Паразитный трафик на сайт vshutku.ru / Parasite traffic on site vshutku.ru"
5.44.168.66;1474801022;1474887423;"Брутфорс атака на сайт jobinukraine.com/Brute force attack on site jobinukraine.com"
