IP;BAN_DATE;UNBAN_DATE;REASON
1.46.198.117;1467988414;1468074822;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.46.226.177;1467988414;1468074822;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.47.7.69;1467988414;1468074822;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.47.102.62;1467988414;1468074822;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.47.107.133;1468041482;1468127884;"Паразитный трафик на сайт coral-club24.com / Parasite traffic on site coral-club24.com"
1.47.139.130;1467988414;1468074822;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.47.203.132;1468047422;1468133826;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.52.33.27;1468042741;1468129144;"Паразитный трафик на сайт geo-sintetika.pl / Parasite traffic on site geo-sintetika.pl"
1.52.33.104;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.33.105;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.33.252;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.34.167;1468034822;1468121224;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.52.35.0;1468034942;1468121344;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.52.35.40;1468065542;1468151944;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.52.35.99;1468034822;1468121224;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.52.35.233;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.35.248;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.37.152;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.38.28;1468025222;1468111624;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.52.39.122;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.43.34;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.44.148;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
